type,context,question,context_weight,question_weight
2,"The Epic of Gilgamesh is an epic poem from ancient Mesopotamia. The literary history of Gilgamesh begins with five Sumerian poems about Gilgamesh (formerly read as Sumerian ""Bilgames""), king of Uruk, some of which may date back to the Third Dynasty of Ur (c. 2100 BCE)",What happened in the first poem about Gilgamesh?,"[0.75, 1.0, 0.75, 1.0, 0, 0, 0.75, 1.0, 0, 0.75, 0.75, 0, 0.75, 0.75, 0, 1.0, 0.75, 0, 1.0, 0.75, 1.0, 0, 1.0, 0, 0, 0, 0.75, 1.0, 0.75, 0.5, 0.75, 0, 0, 0, 0, 0.75, 0.75, 0, 0, 0.75, 0.75, 0.5, 0.75, 0.5, 0.5, 0.5]","[1.0, 0.75, 0.25, 0.25, 0.5, 0.75, 0.5, 1.0]"
2,"Wuthering Heights is the only novel by the English author Emily Brontë, initially published in 1847 under her pen name ""Ellis Bell"". It concerns two families of the landed gentry living on the West Yorkshire moors, the Earnshaws and the Lintons, and their turbulent relationships with the Earnshaws' foster son, Heathcliff. The novel, influenced by Romanticism and Gothic fiction, is considered a classic of English literature",How did Wuthering Heights end?,"[1.0, 1.0, 0, 0, 0, 0.75, 0, 0, 0.75, 0.5, 0.75, 0.75, 0.5, 0.5, 0, 0.5, 0, 0.5, 0.5, 0.5, 0.75, 0.75, 0, 0.5, 0.75, 0.75, 0, 0, 0.5, 0.5, 0.5, 0.25, 0.25, 0.75, 0.75, 0.75, 0, 1.0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 0, 0, 0.75, 0.5, 0.75, 1.0, 0, 0, 0.5, 0, 0.75, 0, 0.75, 0.75, 0, 0, 0, 0.5, 0, 0.5, 0.5]","[1.0, 0.25, 1.0, 1.0, 0.75]"
2,"Geometry is a branch of mathematics concerned with properties of space such as the distance, shape, size, and relative position of figures. Geometry is, along with arithmetic, one of the oldest branches of mathematics. A mathematician who works in the field of geometry is called a geometer",What are all the oldest branches of mathematics?,"[1.0, 0, 0, 0.75, 0, 1.0, 0.25, 0, 0.75, 0.5, 0.75, 0, 0, 0, 0.5, 0.5, 0.5, 0.25, 0.5, 0.5, 0.25, 0.5, 1.0, 0, 0.75, 0.75, 1.0, 0.75, 0, 0, 1.0, 1.0, 0.75, 1.0, 0, 0.75, 0, 0.5, 0, 0, 1.0, 0, 1.0, 0, 0, 0, 0.75]","[1.0, 0.25, 0.75, 0.25, 0.75, 1.0, 0.5, 1.0]"
2,"In geometry, an object has symmetry if there is an operation or transformation (such as translation, scaling, rotation or reflection) that maps the figure/object onto itself (i.e., the object has an invariance under the transform). Thus, a symmetry can be thought of as an immunity to change. For instance, a circle rotated about its center will have the same shape and size as the original circle, as all points before and after the transform would be indistinguishable",What are examples of geometrical symmetry in nature?,"[0, 1.0, 0, 1.0, 0.75, 1.0, 0, 0.5, 0, 0.5, 0.75, 0.5, 0.75, 0, 0, 0.75, 0.75, 0.75, 0, 0.75, 0, 0.75, 0, 0.75, 0.5, 0.75, 0, 0, 1.0, 0, 0, 0.75, 0.5, 0.25, 0.75, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0.75, 0.5, 1.0, 0, 0, 0, 0.75, 0.75, 0.5, 0, 0.5, 0, 0, 0, 1.0, 1.0, 0.5, 1.0, 0.5, 0.5, 1.0, 1.0, 0, 0.5, 0.75, 0.5, 0, 0.5, 0, 0.75, 0, 0, 0.75]","[1.0, 0.25, 0.75, 0.25, 0.75, 1.0, 0.25, 0.75]"
2,"Basketball is a team sport in which two teams, most commonly of five players each, opposing one another on a rectangular court, compete with the primary objective of shooting a basketball (approximately 9.4 inches (24 cm) in diameter) through the defender's hoop (a basket 18 inches (46 cm) in diameter mounted 10 feet (3.05 m) high to a backboard at each end of the court), while preventing the opposing team from shooting through their own hoop. A field goal is worth two points, unless made from behind the three-point line, when it is worth three. After a foul, timed play stops and the player fouled or designated to shoot a technical foul is given one, two or three one-point free throws",What is the largest basketball league in the world?,"[1.0, 0, 0, 1.0, 1.0, 0, 0, 0.75, 0.75, 0, 0, 0, 0.75, 0.75, 0.5, 0.5, 0.25, 0.25, 0, 0, 0.75, 0.75, 1.0, 0, 0, 0.75, 0.75, 0, 0.75, 0, 1.0, 0, 0.5, 0.25, 0.5, 0.25, 0, 0.5, 0, 0, 0.75, 0.5, 0, 0.5, 0.5, 0.25, 0.5, 0.25, 0, 0.5, 0, 0.5, 0.25, 0.5, 0.25, 0, 0, 0, 0.5, 0, 0.25, 0.5, 0.25, 0.25, 0.5, 0, 0, 0, 0.75, 0.75, 0, 0.5, 0, 0, 0.5, 0.5, 0, 0.5, 0.5, 0, 0.25, 0.5, 0.25, 0, 0, 0, 0, 0, 0.5, 0.5, 0, 0, 0, 0.25, 0.5, 0, 0, 0.5, 0.25, 1.0, 0.5, 0, 0, 0.75, 0.25, 0, 0, 0, 0.5, 0, 0.25, 0.5, 0, 0, 0.25, 0.25, 0, 0.25, 0.5, 0.5, 0.5]","[1.0, 0.25, 0.25, 0.75, 1.0, 1.0, 0.25, 0.25, 0.75]"
2,Volleyball is a team sport in which two teams of six players are separated by a net. Each team tries to score points by grounding a ball on the other team's court under organized rules. It has been a part of the official program of the Summer Olympic Games since Tokyo 1964,What is the largest volleyball league in the world?,"[1.0, 0, 0, 1.0, 1.0, 0, 0, 0.75, 1.0, 0, 0.75, 1.0, 0, 0.75, 0.5, 0.5, 0.75, 0, 1.0, 0, 0, 0.5, 0.5, 0, 0.5, 0.25, 0.5, 0, 0, 0.75, 0.75, 0.5, 0.75, 0.75, 1.0, 0, 0, 0, 0, 0.75, 0.5, 0.5, 1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 0, 0.75, 0.5]","[1.0, 0.25, 0.25, 0.75, 1.0, 1.0, 0.25, 0.25, 0.75]"
2,"The wolf (Canis lupus; pl.: wolves), also known as the grey wolf or gray wolf, is a canine native to Eurasia and North America. More than thirty subspecies of Canis lupus have been recognized, including the dog and dingo, though grey wolves, as popularly understood, only comprise naturally-occurring wild subspecies. The wolf is the largest wild extant member of the family Canidae, and is further distinguished from other Canis species by its less pointed ears and muzzle, as well as a shorter torso and a longer tail",Are there wolves in Australia?,"[0, 1.0, 0.75, 0.75, 0, 1.0, 0, 0.75, 0.5, 0, 1.0, 1.0, 0, 1.0, 1.0, 0, 0, 0.75, 1.0, 0, 1.0, 0.75, 1.0, 1.0, 0, 0, 0.75, 1.0, 0, 0.75, 0.75, 0, 0, 0.75, 0, 0, 1.0, 0, 1.0, 0, 1.0, 1.0, 0, 0, 0, 0, 0.75, 0.75, 0.75, 0.75, 0, 1.0, 0, 0, 0.75, 0.75, 0.75, 0.75, 0, 0, 0.5, 0.75, 0, 0, 0, 0, 0, 0, 0.75, 0.5, 0, 0, 0.5, 0.75, 0.75, 0, 0.75, 0, 0, 0, 0, 0.5, 0.75, 0, 0, 0.5, 0.75]","[0.5, 0.75, 1.0, 0.25, 1.0]"
2,"The tiger (Panthera tigris) is a large cat and a member of the genus Panthera native to Asia. It has a powerful, muscular body with a large head and paws, a long tail and orange fur with black, mostly vertical stripes. It is traditionally classified into nine recent subspecies, though some recognise only two subspecies, mainland Asian tigers and the island tigers of the Sunda Islands",Are there tigers in North America?,"[0, 1.0, 0.75, 0.75, 0, 0, 0.75, 0.75, 0, 0, 0.5, 0.25, 0.25, 0.5, 0.75, 1.0, 0, 1.0, 0, 0, 0, 0.5, 0.5, 0.5, 0, 0, 0.5, 0.5, 0, 0.5, 0, 0.5, 0.5, 0, 0.75, 0.75, 0.25, 0.75, 0.25, 0.75, 0.75, 0, 0, 0.5, 0.5, 0, 0.5, 0.5, 0.75, 0, 0, 0.5, 0.25, 0.5, 0.5, 1.0, 1.0, 1.0, 0, 0, 1.0, 1.0, 0, 0, 1.0, 1.0]","[0.5, 0.75, 1.0, 0.25, 1.0, 1.0]"
2,"Cultural identity is a part of a person's identity, or their self-conception and self-perception, and is related to nationality, ethnicity, religion, social class, generation, locality, gender, or any kind of social group that has its own distinct culture. In this way, cultural identity is both characteristic of the individual but also of the culturally identical group of members sharing the same cultural identity or upbringing. Cultural identity is an unfixed process that is continually evolving within the discourses of social, cultural, and historical experiences",What is an example of a cultural identity?,"[1.0, 1.0, 0, 0.25, 0.75, 0.25, 0.25, 0.75, 0.75, 0, 0.5, 0.75, 0, 0.75, 0, 0, 0.5, 0.25, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.25, 0.5, 0.75, 0.25, 0.75, 0.75, 0, 0.25, 0.5, 0.5, 0.75, 1.0, 0, 0, 0, 1.0, 1.0, 0.25, 0.5, 0.75, 0, 0.5, 0.75, 0, 0.25, 0.0, 0, 0.75, 0.75, 0.75, 0, 0.5, 0.75, 0, 0.75, 1.0, 1.0, 0, 0.75, 1.0, 1.0, 0, 0, 0.75, 0.75, 0, 0, 0.5, 0.75, 0, 0, 0.5, 0, 0.75, 1.0, 0, 0.75, 0.75]","[1.0, 0.25, 0.25, 0.75, 0.25, 0.25, 1.0, 1.0]"
2,"Social stratification refers to a society's categorization of its people into groups based on socioeconomic factors like wealth, income, race, education, ethnicity, gender, occupation, social status, or derived power (social and political). It is a hierarchy within groups that ascribe them to different levels of privileges. As such, stratification is the relative social position of persons within a social group, category, geographic region, or social unit",What is an example of a social strata?,"[1.0, 1.0, 0.75, 0, 0, 0.75, 0.75, 0, 0.5, 0.75, 0, 0.75, 0.5, 0.25, 0.75, 0.75, 0, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 1.0, 0.75, 0, 0.75, 0.75, 1.0, 0.25, 0.75, 0.75, 0, 0, 1.0, 0.75, 1.0, 0.25, 0.75, 0.5, 0, 0.5, 1.0, 0, 0.75, 0, 0, 1.0, 0, 0, 0.75, 1.0, 1.0, 0, 0.75, 0, 0, 1.0, 1.0, 1.0, 0.75, 0.75, 0, 1.0, 1.0]","[1.0, 0.25, 0.25, 0.75, 0.25, 0.25, 1.0, 1.0]"
1,"Mount Kilimanjaro is a dormant volcano in Tanzania. It is the highest mountain in Africa and the highest free-standing mountain above sea level in the world, at 5,895 m (19,341 ft) above sea level and 4,900 m (16,100 ft) above its plateau base. It is also the highest volcano in the Eastern Hemisphere and the fourth most topographically prominent peak on Earth",Where is Mount Everest located?,"[0.5, 0.5, 0, 0, 0.25, 0.25, 0, 0.5, 0, 0, 0, 0.25, 0.5, 0, 0.5, 0, 0, 0.25, 0.25, 0.5, 0, 0, 0, 0, 0, 0, 0, 0.25, 0.25, 0.25, 0.25, 0, 0, 0, 0, 0.25, 0.25, 0.25, 0.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0.5, 0, 0, 0, 0, 0, 0, 0.25, 0, 0.5]","[1.0, 0.25, 1.0, 1.0, 0.75]"
1,"Mount Everest, known officially and locally as Sagarmatha in Nepal or Qomolangma in Tibet, is Earth's highest mountain above sea level, located in the Mahalangur Himal sub-range of the Himalayas. The China–Nepal border runs across its summit point. Its elevation (snow height) of 8,848.86 m (29,031 ft 8 1/2 in) was most recently established in 2020 by the Chinese and Nepali authorities",Where is Mount Kilimanjaro located?,"[0.5, 0.5, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0.5, 0, 0.5, 0.25, 0.5, 0, 0, 0, 0, 0, 0, 0.5, 0.5, 0, 0, 0, 0.5, 0, 0.5, 0.25, 0, 0, 0, 0.25, 0.25, 0, 0, 0, 0, 0, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0, 0.25, 1.0, 1.0, 0.75]"
1,"Chichén Itzá (often spelled Chichen Itza in English and traditional Yucatec Maya) was a large pre-Columbian city built by the Maya people of the Terminal Classic period. The archeological site is located in Tinúm Municipality, Yucatán State, Mexico. Chichén Itzá was a major focal point in the Northern Maya Lowlands from the Late Classic (c. AD 600–900) through the Terminal Classic (c. AD 800–900) and into the early portion of the Postclassic period (c. AD 900–1200).",In what city and country is the Eiffel Tower in?,"[0.5, 0.5, 0, 0, 0.5, 0.5, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.25, 0.5, 0, 0.5, 0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0, 0, 0, 0.25, 0.25, 0, 0, 0.5, 0.5, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5, 0.75, 1.0, 0.5, 1.0, 0.25, 0.25, 1.0, 1.0, 0.75]"
1,"The Eiffel Tower is a wrought-iron lattice tower on the Champ de Mars in Paris, France. It is named after the engineer Gustave Eiffel, whose company designed and built the tower from 1887 to 1889. Locally nicknamed ""La dame de fer"" (French for ""Iron Lady""), it was constructed as the centrepiece of the 1889 World's Fair, and to crown the centennial anniversary of the French Revolution",In what city and country is Chichen Itza in?,"[0, 0.5, 0.5, 0, 0, 0.25, 0.25, 0.25, 0, 0, 0.5, 0.5, 0.5, 0, 0.5, 0.5, 0, 0, 0, 0, 0, 0, 0.25, 0.25, 0, 0, 0, 0, 0, 0, 0.5, 0, 0, 0, 0, 0.25, 0, 0.25, 0.25, 0.25, 0.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0]","[0.5, 0.75, 1.0, 0.5, 1.0, 0.25, 1.0, 1.0, 0.75]"
1,"The United States of America (USA), also known as the United States (U.S.) or America, is a country located primarily in North America. It is a federal republic of 50 states and the federal capital district of Washington, D.C. The 48 contiguous states border Canada to the north and Mexico to the south, with the state of Alaska forming a semi-exclave in the northwest and the state of Hawaii spanning an archipelago in Oceania",How many countries does China border?,"[0, 0.5, 0.5, 0.25, 0.5, 0.5, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0, 0.5, 0, 0, 0.25, 0, 0, 0, 0.5, 0.5, 0, 0, 0, 0.25, 0.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.25, 0.25, 0, 0, 0, 0.25, 0.5, 0.5, 0, 0, 0.25, 0, 0.5, 0, 0, 0.25, 0, 0, 0.25, 0, 0.25, 0, 0, 0, 0, 0, 0.25, 0, 0, 0.25, 0, 0.25, 0, 0, 0, 0, 0.25]","[0.75, 1.0, 0.75, 0.25, 1.0, 0.75]"
1,"China, officially the People's Republic of China (PRC), is a country in East Asia. With a population exceeding 1.4 billion, it is the second-most populous country after India, representing 17.4% of the world population. China spans the equivalent of five time zones and borders fourteen countries by land across an area of nearly 9.6 million square kilometers (3,700,000 sq mi), making it the third-largest country by land area",How many countries does the USA border?,"[0.5, 0, 0, 0.5, 0.5, 0.25, 0.5, 0.5, 0, 0, 0.5, 0, 0.25, 0.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0, 0, 0, 0, 0, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.25, 0.5, 0, 0, 0]","[0.75, 1.0, 0.75, 0.25, 0.75, 1.0, 0.75]"
1,An ecosystem (or ecological system) is a system formed by organisms in interaction with their environment. The biotic and abiotic components are linked together through nutrient cycles and energy flows. Ecosystems are controlled by external and internal factors,"On Earth, what does gravity mean?","[0, 0.5, 0, 0.5, 0.5, 0, 0, 0.25, 0, 0, 0.25, 0, 0.25, 0, 0, 0.25, 0, 0.25, 0, 0.25, 0.25, 0, 0.25, 0.25, 0, 0, 0, 0, 0.5, 0.5, 0.5, 0, 0.5, 0, 0.5, 0, 0.5, 0.25]","[0.75, 1.0, 0.75, 0.25, 1.0, 1.0]"
1,"In physics, gravity (from Latin gravitas 'weight'), also known as gravitation or a gravitational interaction, is a fundamental interaction, a mutual attraction between all massive particles. On Earth, gravity takes a slightly different meaning: the observed force between objects and the Earth. This force is dominated by the combined gravitational interactions of particles but also includes effect of the Earth's rotation","On Earth, what does ecosystem mean?","[0, 0.5, 0.5, 0, 0, 0, 0.5, 0, 0, 0, 0.25, 0, 0, 0.5, 0.5, 0, 0, 0.25, 0.25, 0, 0.25, 0.25, 0, 0, 0, 0, 0, 1.0, 0.25, 0, 0, 0, 0.5, 1.0, 0, 0.25, 0.25, 0.25, 0.25, 0, 0, 0.5, 0, 0.25, 0, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0]","[0.5, 1.0, 0.75, 0.25, 1.0, 1.0]"
1,"A camera is an instrument used to capture and store images and videos, either digitally via an electronic image sensor, or chemically via a light-sensitive material such as photographic film. As a pivotal technology in the fields of photography and videography, cameras have played a significant role in the progression of visual arts, media, entertainment, surveillance, and scientific research. The invention of the camera dates back to the 19th century and has since evolved with advancements in technology, leading to a vast array of types and models in the 21st century",How does a steam engine work?,"[0, 0.5, 0, 0, 0.5, 0.25, 0, 0.25, 0, 0.25, 0, 0, 0, 0.25, 0.25, 0.25, 0, 0.25, 0, 0, 0, 0.25, 0.25, 0, 0, 0.5, 0, 0, 0, 0, 0, 0, 0.5, 0.5, 0, 0, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.25, 0, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0, 0, 0]","[0.75, 0.25, 0.25, 1.0, 1.0, 1.0]"
1,A steam engine is a heat engine that performs mechanical work using steam as its working fluid. The steam engine uses the force produced by steam pressure to push a piston back and forth inside a cylinder. This pushing force can be transformed by a connecting rod and crank into rotational force for work,How does a camera work?,"[0, 0.5, 0.5, 0, 0, 0, 0, 0, 0.5, 0.25, 0.25, 0, 0, 0, 0, 0, 0, 0, 0.5, 0.5, 0, 0, 0, 0.5, 0.25, 0.25, 0.25, 0, 0.25, 0.25, 0.25, 0.25, 0, 0.25, 0.25, 0, 0.25, 0, 0.25, 0.25, 0, 0, 0.25, 0, 0, 0, 0, 0, 0.25, 0, 0.25, 0.25, 0, 0.5]","[0.75, 0.25, 0.25, 1.0, 1.0]"
1,"Wuthering Heights is the only novel by the English author Emily Brontë, initially published in 1847 under her pen name ""Ellis Bell"". It concerns two families of the landed gentry living on the West Yorkshire moors, the Earnshaws and the Lintons, and their turbulent relationships with the Earnshaws' foster son, Heathcliff. The novel, influenced by Romanticism and Gothic fiction, is considered a classic of English literature",When was The Epic of Gilgamesh published?,"[0.5, 0.5, 0, 0, 0, 0.25, 0, 0, 0.25, 0, 0.25, 0.25, 0, 0.5, 0.25, 0.5, 0, 0, 0, 0, 0.25, 0.25, 0, 0, 0, 0, 0, 0, 0.25, 0.25, 0, 0, 0, 0.25, 0.25, 0.25, 0, 0.0, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.25, 0, 0.25, 0.25, 0, 0.25, 0, 0.25, 0, 0, 0, 0, 0.25, 0, 0.25, 0.25]","[0.75, 0.25, 0.75, 1.0, 0.75, 1.0, 1.0]"
1,"The Epic of Gilgamesh is an epic poem from ancient Mesopotamia. The literary history of Gilgamesh begins with five Sumerian poems about Gilgamesh (formerly read as Sumerian ""Bilgames""), king of Uruk, some of which may date back to the Third Dynasty of Ur (c. 2100 BCE)",When was Wuthering Heights published?,"[0, 0.5, 0.25, 0.5, 0, 0, 0.25, 0.25, 0.25, 0.5, 0.5, 0, 0.25, 0.5, 0, 0.5, 0.5, 0, 0.25, 0.25, 0.25, 0, 0.25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0.5, 0, 0, 0.5, 0.5, 0.25, 0.5, 0, 0.5, 0.5]","[0.75, 0.25, 1.0, 1.0, 1.0]"
1,"In geometry, an object has symmetry if there is an operation or transformation (such as translation, scaling, rotation or reflection) that maps the figure/object onto itself (i.e., the object has an invariance under the transform). Thus, a symmetry can be thought of as an immunity to change. For instance, a circle rotated about its center will have the same shape and size as the original circle, as all points before and after the transform would be indistinguishable",What is geometry?,"[0, 1.0, 0, 1.0, 0.75, 1.0, 0.25, 0.25, 0.25, 0, 0.75, 0.5, 0.75, 0, 0, 0.75, 0.75, 0.75, 0, 0.75, 0, 0.75, 0.5, 1.0, 0.5, 0.75, 0, 0, 1.0, 0, 0, 1.0, 0.75, 0.75, 1.0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0.75, 0.5, 0.75, 0, 0, 0, 1.0, 0.75, 0, 0, 0.75, 0, 0, 0, 0.75, 1.0, 0, 0.75, 0, 0, 0.75, 1.0, 0, 0, 1.0, 0, 0, 0, 0, 0.75, 0, 0, 0.75]","[1.0, 0.25, 1.0]"
1,"Geometry is a branch of mathematics concerned with properties of space such as the distance, shape, size, and relative position of figures. Geometry is, along with arithmetic, one of the oldest branches of mathematics. A mathematician who works in the field of geometry is called a geometer",What is symmetry in geometry?,"[1.0, 0, 0, 0.5, 0.25, 0.75, 0, 0, 1.0, 0.75, 1.0, 0, 0, 0, 0.75, 1.0, 0.75, 0, 1.0, 1.0, 0, 1.0, 1.0, 0, 0, 0, 0.5, 0, 0, 0, 0, 0.5, 0.25, 0.75, 0, 0, 0, 0, 0, 0, 0.75, 0.5, 1.0, 0, 0, 0, 0]","[1.0, 0.25, 1.0, 0.5, 0.75]"
1,Volleyball is a team sport in which two teams of six players are separated by a net. Each team tries to score points by grounding a ball on the other team's court under organized rules. It has been a part of the official program of the Summer Olympic Games since Tokyo 1964,How many players are on a team in basketball?,"[0.5, 0, 0, 1.0, 1.0, 0, 0, 1.0, 1.0, 0, 1.0, 1.0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, 0.75, 0.75, 0, 0, 0, 1.0, 0, 0, 0, 0.75, 0.75, 0, 0.75, 0.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.75, 0.75, 0.75, 0, 0.5, 0.5]","[0.75, 1.0, 1.0, 0.25, 0.25, 0.25, 0.75, 0.5, 1.0]"
1,"Basketball is a team sport in which two teams, most commonly of five players each, opposing one another on a rectangular court, compete with the primary objective of shooting a basketball (approximately 9.4 inches (24 cm) in diameter) through the defender's hoop (a basket 18 inches (46 cm) in diameter mounted 10 feet (3.05 m) high to a backboard at each end of the court), while preventing the opposing team from shooting through their own hoop. A field goal is worth two points, unless made from behind the three-point line, when it is worth three. After a foul, timed play stops and the player fouled or designated to shoot a technical foul is given one, two or three one-point free throws",How many players are in a team in volleyball?,"[0.5, 0, 0, 1.0, 1.0, 0, 0, 1.0, 1.0, 0, 0, 0, 1.0, 1.0, 0.75, 0.75, 0, 0, 0, 0, 0.75, 0.75, 0.5, 0, 0, 0.5, 0.5, 0, 0.5, 0, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 1.0, 0, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0.75, 0, 0, 0, 0, 0, 0.5, 0, 0, 0, 0, 0, 0.5, 0, 0, 0.5, 0.5, 0.5, 0, 0, 0, 0.75, 0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 0.5, 0, 0.5, 1.0, 0, 0]","[0.75, 1.0, 1.0, 0.25, 0.25, 0.25, 0.75, 0.5, 1.0]"
1,"The tiger (Panthera tigris) is a large cat and a member of the genus Panthera native to Asia. It has a powerful, muscular body with a large head and paws, a long tail and orange fur with black, mostly vertical stripes. It is traditionally classified into nine recent subspecies, though some recognise only two subspecies, mainland Asian tigers and the island tigers of the Sunda Islands",What is the scientific name of the wolf?,"[0, 0.5, 1.0, 1.0, 0, 0, 0.5, 0.5, 0, 0, 0.75, 0, 0, 1.0, 1.0, 0, 0, 0.5, 0, 0, 0, 0.5, 0.5, 0.5, 0, 0, 0.5, 0.5, 0, 0.5, 0, 0.5, 0.5, 0, 0.25, 0.5, 0, 0.5, 0, 0.25, 0.25, 0, 0, 0, 0.75, 0, 0.5, 0.25, 0.75, 0, 0, 0, 0, 0.5, 0.75, 0, 0.5, 0.5, 0, 0, 0.5, 0.5, 0, 0, 0, 0]","[0.75, 0.25, 0.25, 1.0, 1.0, 0.25, 0.25, 1.0]"
1,"The wolf (Canis lupus; pl.: wolves), also known as the grey wolf or gray wolf, is a canine native to Eurasia and North America. More than thirty subspecies of Canis lupus have been recognized, including the dog and dingo, though grey wolves, as popularly understood, only comprise naturally-occurring wild subspecies. The wolf is the largest wild extant member of the family Canidae, and is further distinguished from other Canis species by its less pointed ears and muzzle, as well as a shorter torso and a longer tail",What is the scientific name of the tiger?,"[0, 0.5, 1.0, 1.0, 0, 0.5, 0, 0.5, 0.5, 0, 0.25, 0.5, 0, 0.25, 0.5, 0, 0, 0.5, 0.5, 0, 0.25, 0, 0.25, 0.25, 0, 0, 0, 0.75, 0, 1.0, 1.0, 0, 0, 0, 0, 0, 0.5, 0, 0.5, 0, 0.25, 0.5, 0, 0, 0, 0, 0, 0, 0.5, 0.75, 0, 0.5, 0, 0, 0, 0, 0, 0.75, 0, 0, 0.75, 1.0, 0, 0, 0, 0.75, 0, 0, 1.0, 1.0, 0, 0, 0, 0.5, 0.75, 0, 0.5, 0, 0, 0, 0, 0.5, 0.75, 0, 0, 0.5, 0.75]","[0.75, 0.25, 0.25, 1.0, 1.0, 0.25, 0.25, 1.0]"
1,"Social stratification refers to a society's categorization of its people into groups based on socioeconomic factors like wealth, income, race, education, ethnicity, gender, occupation, social status, or derived power (social and political). It is a hierarchy within groups that ascribe them to different levels of privileges. As such, stratification is the relative social position of persons within a social group, category, geographic region, or social unit",Define cultural identity,"[0.75, 0.75, 0.5, 0, 0, 1.0, 1.0, 0, 0, 0.75, 0.5, 1.0, 0.5, 0.25, 0.75, 0.75, 0, 0.5, 0.5, 0.75, 0.5, 0.75, 0.5, 0.5, 0.75, 0.75, 0.5, 0.75, 0.75, 0.75, 0.5, 0.75, 0, 0, 0.25, 0.5, 0.25, 0.75, 0, 0.5, 0, 0, 0.5, 0.5, 0, 0.75, 0, 0, 0.75, 0, 0, 0.75, 0.75, 0.75, 0, 0.75, 0.75, 0.5, 0.75, 0.75, 0.75, 0.75, 0.75, 0.25, 0.75, 0.75]","[0.75, 1.0, 1.0]"
1,"Cultural identity is a part of a person's identity, or their self-conception and self-perception, and is related to nationality, ethnicity, religion, social class, generation, locality, gender, or any kind of social group that has its own distinct culture. In this way, cultural identity is both characteristic of the individual but also of the culturally identical group of members sharing the same cultural identity or upbringing. Cultural identity is an unfixed process that is continually evolving within the discourses of social, cultural, and historical experiences",Define social stratification,"[1.0, 0.75, 0, 0, 0.75, 0.5, 0.5, 0.75, 1.0, 0, 0, 0.75, 0, 0.75, 0, 0, 0.5, 0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.75, 0.75, 0.5, 1.0, 1.0, 0, 0, 0, 0.75, 0.75, 1.0, 0, 0, 0, 0.75, 0.75, 0, 0, 0.75, 0, 0, 0.75, 0, 0, 0, 0, 0.75, 1.0, 1.0, 0.75, 1.0, 1.0, 0, 1.0, 0.75, 1.0, 0, 0, 0.75, 1.0, 0, 0, 0.25, 0.25, 0, 0, 0.25, 0.25, 0, 0, 0.5, 0, 1.0, 0.75, 0, 0.75, 1.0]","[0.75, 1.0, 1.0]"
